name,type
Zachary Catazaro,person
Stroz Friedberg,person
Koko,person
Hanks,person
Benjamin Crump,person
Xu Ziyang,person
Bowman,person
Christopher Steele,person
Ahmed,person
Sada-El,person
Rick,person
https://www.reuters.com/article/us-mcdonalds-lawsuit/mcdonalds-grimaces-at-happy-meal-lawsuit-idUSTRE73I4P820110419,person
Knight Ridder,person
Nicolle Wallace,person
Hedi Slimane,person
Mark Zuckerberg,person
Balwani,person
Ms Johnson,person
Eric Schiffer,person
Muzin,person
Stormy,person
Rolf Schr,person
Liss-Riordan,person
Alexa Borenkoff,person
Maria,person
Dennis Muilenburg,person
Vince McMahon,person
Justin Sullivan,person
Tia Hatton,person
Randy Smith,person
Brian L. Roberts,person
Cal Henderson,person
Tamar Jacoby,person
Lucio Lanza,person
Khosrowshahi,person
Oguz,person
Meadow Pollack Peterson,person
Susie Breitbart,person
Brett Shumate,person
"reach,’",person
Greg Lee,person
Franklin Turner,person
Pieter Elbers,person
Denise Landman,person
Dre,person
Clinton,person
John Manly,person
Danny Hakim,person
Eric Holder,person
Rosalie Styles,person
Brady,person
Scott Blackmun,person
Matthew Wing,person
Joseph Mifsud,person
Robin Li,person
Shihan Qu,person
Schiele,person
Ryan Shrout,person
Boutte,person
Sami Anan,person
Jonah Peretti,person
Satya Nadella Microsoft,person
Tonya Hall,person
Sekulow,person
Gretchen Carlson,person
Janice Dickinson,person
Ramon Laguarta,person
Hadas Gold,person
Sundar Pichai s,person
Jones,person
Todd McKinnon,person
Suzanna de Baca,person
Estelle Shirbon LONDON,person
Sophie,person
John Furner,person
Noam Bardin,person
Andrew Anglin,person
Joyce,person
George Barrett,person
Hui Huang Lee,person
George Washington,person
Carlos Ghosn,person
Lindsey Wasson,person
Eric Springer,person
Damore,person
Philippe Couillard,person
Timothy Sloan,person
Roberta Kaplan,person
Justin McLeod,person
Matt Varughese,person
Karen Dunn,person
Jessie Lorenz,person
Joe Kaeser,person
Metafused Marc Roberts,person
Seladeplar,person
Ms Madison,person
Tadashi Yanai,person
Iain Livingstone,person
Ido Savir,person
Dan Levine,person
Alison Nathan,person
Chris Urmson,person
Lizza,person
Abel,person
Barwin,person
Mac,person
Gigafactory,person
Ynon Kreiz,person
Ken Mascara,person
Joe DiPasquale,person
George Bush,person
Liu Yanchun,person
Hanson,person
Candace Martin,person
William Consovoy,person
Leslee Sarno,person
Black Cube,person
Olivia de Havilland,person
Chaplin,person
Stadler,person
Dimon,person
Justin Dearborn,person
Tim Armour,person
Anthony Nimmons,person
Mary Nichols,person
Matthew Herper Chris,person
Neil Armstrong,person
Joshua Metz,person
Joseph Chancellor,person
Beth Anne Steele,person
Oberthur,person
Rockstar,person
Christopher Foley,person
John Milligan,person
Consolini,person
Aaron Filler,person
Alex Austin,person
Mr Fowler,person
DiCello,person
Clarke,person
Pat Upshaw-Monteith,person
Kimbal Musk,person
Michael Zimmer,person
Michael Gonzales,person
Meli,person
Schneiderman Schneiderman,person
Alex Zhavoronkov,person
Manny Medina,person
Cheng Wei,person
Margarette Purvis,person
Kevin Russell,person
Martin,person
Katherine Hanratty,person
Dexter Goei,person
Stuart Meissner,person
Chip Paucek,person
Bodo,person
Eric Schaeffer,person
Neville Ray,person
Sorihin,person
Ethereum,person
George Tenet,person
Kiteka Hilary Anne Stephenson,person
Marty Neill,person
Lucas,person
Fran Sepler,person
Yu,person
Weil,person
Leah Millis,person
Rupert Murdoch,person
Rebecca Messina,person
Sunny Balwani,person
Josh Miller,person
Lauren Rousseau,person
Corey Graves,person
James Gwertzman,person
Harry Potter,person
Trevor Walker,person
L. Lin Wood,person
Perry,person
Shawn Williams,person
Rosenstein,person
Matt Denn,person
